track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533.0,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,2011-01-01
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319.0,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,2012-12-05
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173.0,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,2018-05-25
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466.0,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4,2023-06-02
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445.0,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,2013-01-01
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617.0,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,2012-01-01
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775.0,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,2023-04-12
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814.0,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,2016-11-25
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873.0,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,2014-01-01
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350.0,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4,2013-01-01
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468.0,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6,2022-03-19
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890.0,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,2017-01-06
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940.0,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4,2014-11-17
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144.0,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8,2023-01-13
Creep,Radiohead,1,1992,9,21,36724,7,1271293243.0,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4,1992-09-21
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712.0,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3,2019-10-18
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534.0,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3,2017-03-21
Cheques,Shubh,1,2023,5,19,67,8,47956378.0,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5,2023-05-19
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070.0,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11,2016-08-20
Circles,Post Malone,1,2019,8,30,19664,16,2132335812.0,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,2019-08-30
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668.0,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,2010-01-01
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446.0,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,2013-09-13
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268.0,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,2022-12-16
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515.0,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,2021-04-09
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836.0,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,2022-05-06
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206.0,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,2023-07-07
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812.0,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,2020-02-10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611.0,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3,1968-07-01
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286.0,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,2010-07-20
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735.0,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7,2023-06-08
Ditto,NewJeans,1,2022,12,19,1154,22,397582059.0,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,2022-12-19
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056.0,34,0,"5,108",6,0,84,F#,Minor,57,86,90,2,0,9,5,1984-10-19
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632.0,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6,2023-06-02
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727.0,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28,2023-05-01
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076.0,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12,2023-05-11
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958.0,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10,2022-11-24
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040.0,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4,2023-05-15
S-Class,Stray Kids,1,2023,6,2,290,19,65496046.0,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33,2023-06-02
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963.0,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,2023-05-26
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990.0,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4,2023-03-30
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975.0,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5,2023-06-02
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496.0,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49,2023-03-17
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133.0,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,2023-05-13
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139.0,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,2022-09-29
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589.0,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13,2023-06-02
FLOWER,JISOO,1,2023,3,31,839,18,232896922.0,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4,2023-03-31
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685.0,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15,2023-06-02
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623.0,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,2023-03-23
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353.0,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11,2022-10-12
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192.0,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,2022-11-30
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772.0,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,2023-05-26
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314.0,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,2022-12-02
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613.0,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,2023-04-04
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710.0,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,2022-12-02
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651.0,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,2022-12-01
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,2023-05-26
Players,Coi Leray,1,2022,11,30,4096,6,335074782.0,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,2022-11-30
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14,2023-05-22
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667.0,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3,2023-05-26
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,2022-07-08
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245.0,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,2023-06-02
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5,2023-03-01
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,2022-06-29
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742.0,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,2022-07-29
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779.0,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,2023-06-05
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987.0,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,2023-05-18
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040.0,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15,2023-04-21
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,2023-04-07
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,2023-05-19
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,2022-10-21
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689.0,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,2023-06-02
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,2022-05-06
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9,2023-01-27
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22,2023-02-14
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,2022-10-17
Unstoppable,Sia,1,2016,1,21,7681,13,939844851.0,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8,2016-01-21
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,2021-09-01
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,2022-11-04
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,2021-10-14
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,2023-05-11
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,2023-06-02
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5,2023-02-14
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,2000-01-01
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,2022-12-16
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,2021-12-10
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,2022-06-10
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,2023-05-04
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,2023-05-05
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115.0,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,2023-05-01
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,2023-04-21
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241.0,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,2023-04-30
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39,2023-02-24
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,2023-04-07
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541.0,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25,2023-02-02
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,2022-04-08
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,2023-02-24
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5,2023-04-10
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4,1997-01-01
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,2023-03-04
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,2023-04-24
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,2022-04-22
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,2023-04-21
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,2019-08-23
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,2022-04-21
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19,2023-04-14
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5,2023-02-03
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087.0,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,2021-09-09
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,2022-12-30
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,2023-04-25
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,2022-08-16
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383.0,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,2022-07-28
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,2022-10-21
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,2023-02-05
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295.0,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,2022-04-28
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,2022-11-04
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4,2014-06-05
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10,2021-11-25
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,2023-04-27
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403.0,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,2022-12-24
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603.0,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6,2023-03-17
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,2018-03-29
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215.0,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,2023-05-04
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240.0,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,2022-09-16
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,2022-12-22
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,2018-03-29
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4,2023-03-24
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258.0,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,2023-02-02
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4,2021-12-03
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,2002-01-01
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,2002-05-26
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671.0,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,2023-03-02
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,2023-04-07
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20,2023-03-17
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,2023-03-22
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350.0,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,2023-03-27
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,2022-11-01
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276.0,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,2023-03-31
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,2023-03-25
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35,2021-12-24
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503.0,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,2023-03-24
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,2022-05-20
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,2022-12-09
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483.0,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,2020-03-20
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,2022-04-22
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,2023-03-29
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7,2023-03-14
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,2022-10-21
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,2023-02-10
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,2022-05-13
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,2022-04-01
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,2022-10-26
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,2022-01-21
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6,1995-07-11
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,2022-11-13
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4,2014-11-28
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6,2017-02-20
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,2016-09-09
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785.0,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,2015-05-27
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.0,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,2019-05-10
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,2023-04-07
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566.0,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5,2022-12-15
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764.0,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,2022-07-25
Low,SZA,1,2022,12,9,1911,0,272377463.0,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,2022-12-09
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,2003-03-24
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242.0,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6,2023-02-24
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790.0,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13,2023-03-03
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,2022-12-02
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,2022-08-05
